title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Mr. & Mrs. Smith (2005),478207520,186336279,291871241,3451,PG-13,1.10E+08,June,2005,6.41,29069622.31,261917297,Summer
Madagascar (2005),532680671,193595521,339085150,4142,PG,NA,May,2005,6.41,30202109.36,272121005.3,Spring
Star Wars: Episode III,NA,NA,0,NA,PG-13,1.13E+08,May,2005,6.41,NA,NA,Spring
Kingdom of Heaven (2005),211652051,47398413,164253638,3219,R,1.30E+08,May,2005,6.41,7394448.206,66623978.34,Spring
The Hitchhiker's Guide to the Galaxy (2005),104478416,51085416,53393000,3133,PG,5.00E+07,April,2005,6.41,7969643.682,71806489.57,Spring
The Interpreter (2005),162944923,72708161,90236762,2814,PG-13,8.00E+07,April,2005,6.41,11342926.83,102199770.8,Spring
The Amityville Horror (2005) (2005),108047131,65233369,42813762,3323,R,1.90E+07,April,2005,6.41,10176812.64,91693081.85,Spring
Sahara (2005),119269486,68671925,50597561,3200,PG-13,1.30E+08,April,2005,6.41,10713248.83,96526371.96,Spring
Sin City (2005),158753820,74103820,84650000,3230,R,4.00E+07,April,2005,6.41,11560658.35,104161531.7,Spring
Guess Who (2005),101866030,68915888,32950142,3147,PG-13,NA,March,2005,6.41,10751308.58,96869290.31,Spring
The Ring Two (2005),161451538,76231249,85220289,3341,PG-13,NA,March,2005,6.41,11892550.55,107151880.4,Spring
Robots (2005),260718330,128200012,132518318,3776,PG,7.50E+07,March,2005,6.41,20000001.87,180200016.9,Spring
The Pacifier (2005),198636868,113086868,85550000,3181,PG,5.60E+07,March,2005,6.41,17642257.1,158956736.5,Spring
Tyler Perry's Diary of a Mad Black Woman (2005),50652203,50633099,19104,1703,PG-13,5500000,February,2005,6.41,7899079.407,71170705.46,Winter
Hitch (2005),368100420,179495555,188604865,3575,PG-13,7.00E+07,February,2005,6.41,28002426.68,252301864.4,Winter
Boogeyman (2005),67192859,46752382,20440477,3052,PG-13,2.00E+07,February,2005,6.41,7293663.339,65715906.68,Winter
Hide and Seek (2005),122650962,51100486,71550476,3005,R,NA,January,2005,6.41,7971994.696,71827672.21,Winter
Are We There Yet? (2005),97918663,82674398,15244265,2810,PG,3.20E+07,January,2005,6.41,12897722,116208475.2,Winter
Coach Carter (2005),76669806,67264877,9404929,2574,PG-13,3.00E+07,January,2005,6.41,10493740.56,94548602.46,Winter
Night at the Museum (2006),574480841,250863268,323617573,3768,PG,NA,December,2006,6.55,38299735.57,345080617.5,Winter
The Pursuit of Happyness (2006),307077295,163566459,143510836,3169,PG-13,5.50E+07,December,2006,6.55,24971978.47,224997526,Winter
Apocalypto (2006),120654337,50866635,69787702,2465,R,4.00E+07,December,2006,6.55,7765898.473,69970745.24,Winter
Happy Feet (2006),NA,NA,0,NA,PG,1.00E+08,November,2006,6.55,NA,NA,Fall
Casino Royale (2006),599045960,167445960,431600000,3443,PG-13,1.50E+08,November,2006,6.55,25564268.7,230334061,Fall
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),261572744,128505958,133066786,2611,R,1.80E+07,November,2006,6.55,19619230.23,176769264.4,Fall
Saw III (2006),164874275,80238724,84635551,3167,R,1.00E+07,October,2006,6.55,12250186.87,110374183.7,Fall
The Prestige (2006),109676311,53089891,56586420,2305,PG-13,4.00E+07,October,2006,6.55,8105326.87,73028995.1,Fall
The Departed (2006),291465034,132384315,159080719,3017,R,9.00E+07,October,2006,6.55,20211345.8,182104225.7,Fall
Open Season (2006),197309027,85105259,112203768,3833,PG,8.50E+07,September,2006,6.55,12993169.31,117068455.5,Fall
