title,widest_opening,rating,budget,gross_adj,season
Bram Stoker's Dracula (1992),2491,R,4.00E+07,179163936.8,Fall
Passenger 57 (1992),1974,R,NA,95670249.04,Fall
Under Siege (1992),2248,R,NA,181422622.3,Fall
The Last of the Mohicans (1992),1856,R,4.00E+07,163929581.3,Fall
Sneakers (1992),2062,PG-13,NA,111664709.9,Fall
Honeymoon in Vegas (1992),1765,PG-13,2.50E+07,76441391.46,Summer
Unforgiven (1992),2087,R,NA,219621348.8,Summer
Death Becomes Her (1992),1866,PG-13,5.50E+07,126840500.4,Summer
Mo' Money (1992),1705,R,NA,87336222.67,Summer
"Honey, I Blew Up the Kid (1992)",2429,PG,NA,127361130.7,Summer
A League of Their Own (1992),2084,PG,4.00E+07,233465226.8,Summer
Batman Returns (1992),2644,PG-13,8.00E+07,353674718.9,Summer
Patriot Games (1992),2396,R,4.50E+07,180963325,Summer
Lethal Weapon 3 (1992),2568,R,3.50E+07,314224351.4,Spring
Basic Instinct (1992),1884,R,4.90E+07,255595732.1,Spring
Sleepwalkers (1992),1914,R,NA,66271834.85,Spring
White Men Can't Jump (1992),1929,R,NA,165553443.9,Spring
Wayne's World (1992),NA,PG-13,2.00E+07,NA,Winter
Medicine Man (1992),1370,PG-13,4.00E+07,98786067.7,Winter
The Hand That Rocks the Cradle (1992),1759,R,NA,191135063.6,Winter
Mrs. Doubtfire (1993),2354,PG-13,2.50E+07,477040854.9,Fall
The Pelican Brief (1993),2022,PG-13,NA,219304392.4,Winter
Wayne's World 2 (1993),2400,PG-13,4.00E+07,104894256.8,Winter
Addams Family Values (1993),2577,PG-13,NA,106463907.6,Fall
The Three Musketeers (1993) (1993),2128,PG,NA,117301592.6,Fall
Tim Burton's The Nightmare Before Christmas (1993),NA,PG,NA,163404550.4,Fall
Demolition Man (1993),2258,R,NA,126348422.6,Fall
Malice (1993),1519,R,NA,100993255.4,Fall
The Good Son (1993),1902,R,NA,97477294.42,Fall
Striking Distance (1993),1917,R,NA,52466638.08,Fall
The Fugitive (1993),2425,PG-13,NA,400174057.4,Summer
Rising Sun (1993),1722,R,NA,137499396.7,Summer
In the Line of Fire (1993),2129,R,4.00E+07,222670665.5,Summer
The Firm (1993),2393,R,NA,344618064.4,Summer
Jurassic Park (1993),2566,PG-13,6.30E+07,876686319.1,Summer
Cliffhanger (1993),2431,R,7.00E+07,182918693.5,Spring
Sliver (1993),2093,R,NA,79000724.64,Spring
Dave (1993),1916,PG-13,NA,137697849.5,Spring
Dragon: The Bruce Lee Story (1993),1985,PG-13,NA,76419039.72,Spring
Indecent Proposal (1993),1922,R,NA,232027215.4,Spring
Cop and a Half (1993),1793,PG,NA,69402443.46,Spring
Teenage Mutant Ninja Turtles III (1993),2087,PG,2.10E+07,92001260.17,Spring
Fire in the Sky (1993),1435,PG-13,NA,43277493.6,Spring
Falling Down (1993),NA,R,NA,NA,Winter
Groundhog Day (1993),1742,PG,NA,154316866.4,Winter
Loaded Weapon 1 (1993),2015,PG-13,NA,60892363.52,Winter
Dumb and Dumber (1994),2565,PG-13,1.70E+07,274126822.9,Winter
Disclosure (1994),2168,R,5.50E+07,178939222.9,Winter
The Santa Clause (1994),2388,PG,2.20E+07,312188647.5,Fall
Star Trek: Generations (1994),2681,PG,3.50E+07,163109291,Fall
Interview with the Vampire (1994),2604,R,6.00E+07,226898114.4,Fall
Stargate (1994),2033,PG-13,NA,154263404.5,Fall
Pulp Fiction (1994),NA,R,8.00E+06,NA,Fall
The Specialist (1994),2522,R,4.50E+07,123645182.7,Fall
The River Wild (1994),2153,PG-13,NA,100912739.3,Fall
Timecop (1994),2274,R,NA,96682001.15,Fall
Forrest Gump (1994),NA,PG-13,5.50E+07,NA,Summer
Natural Born Killers (1994),1904,R,3.40E+07,108384622.4,Summer
Clear and Present Danger (1994),2433,PG-13,6.20E+07,263375916.3,Summer
The Mask (1994),2516,PG-13,2.30E+07,258528219.4,Summer
True Lies (1994),2561,R,1.15E+08,315312086.9,Summer
The Lion King (1994),NA,G,4.50E+07,911311442.8,Summer
Wolf (1994),2117,R,NA,140113253.3,Summer
Speed (1994),2169,R,3.00E+07,261350666.6,Summer
The Flintstones (1994),2594,PG,4.60E+07,281360331.1,Spring
Maverick (1994),2537,PG,NA,219066449.9,Spring
When a Man Loves a Woman (1994),NA,R,NA,107822452.3,Spring
Four Weddings and a Funeral (1994),NA,R,4400000,113596769.5,Spring
D2: The Mighty Ducks (1994),2223,PG,NA,98313347.87,Spring
The Naked Gun 33 1/3: The Final Insult (1994),2383,PG-13,3.00E+07,110216437.3,Spring
Guarding Tess (1994),1614,PG-13,NA,58324239,Spring
Ace Ventura: Pet Detective (1994),1963,PG-13,1.50E+07,155664769.8,Winter
On Deadly Ground (1994),2010,R,5.00E+07,83181824.54,Winter
Philadelphia (1993),NA,PG-13,2.60E+07,168548894.8,Winter
Toy Story (1995),2574,G,NA,397260703.3,Fall
GoldenEye (1995),2667,PG-13,NA,220444544.5,Fall
Ace Ventura: When Nature Calls (1995),2705,PG-13,NA,224495092.5,Fall
Get Shorty (1995),2103,R,NA,149341520.5,Fall
Seven (1995),2528,R,3.30E+07,207386676.7,Fall
"To Wong Foo, Thanks for Everything, Julie Newmar (1995)",1489,PG-13,NA,75547696.31,Fall
Mortal Kombat (1995),2630,PG-13,NA,145929062.8,Summer
Dangerous Minds (1995),1783,R,NA,175890529.4,Summer
Waterworld (1995),NA,PG-13,1.75E+08,NA,Summer
Clueless (1995),NA,PG-13,NA,NA,Summer
Apollo 13 (1995),2347,PG,NA,360064316.4,Summer
Pocahontas (1995),NA,G,NA,293249139,Summer
Batman Forever (1995),2893,PG-13,1.00E+08,381177084.9,Summer
Congo (1995),2676,PG-13,NA,167818190.8,Summer
Casper (1995),2757,PG,NA,207806213.3,Spring
Die Hard: With A Vengeance (1995),2579,R,9.00E+07,207152325.5,Spring
Crimson Tide (1995),2514,R,NA,189287040.7,Spring
French Kiss (1995),1754,PG-13,NA,80565667.71,Spring
While You Were Sleeping (1995),2086,PG,1.70E+07,167890509,Spring
Bad Boys (1995),2132,R,1.90E+07,136303744,Spring
Tommy Boy (1995),2186,PG-13,NA,67688710.34,Spring
Outbreak (1995),2230,R,NA,140140835.8,Spring
Man of the House (1995),2059,PG,NA,82997624.13,Spring
The Brady Bunch Movie (1995),1941,PG-13,NA,96471490.89,Winter
The Quick and the Dead (1995),2158,R,3.20E+07,38601195.03,Winter
Legends of the Fall (1994),NA,R,NA,143640271.7,Winter
Higher Learning (1995),1450,R,NA,79310210.17,Winter
Michael (1996),2325,PG,NA,194302490.7,Winter
Beavis and Butt-Head Do America (1996),2417,PG-13,1.20E+07,128664402.2,Winter
Jerry Maguire (1996),2531,R,5.00E+07,313826437.5,Winter
101 Dalmatians (1996) (1996),2901,G,NA,277616637.8,Fall
Star Trek: First Contact (1996),2812,PG-13,NA,187595310.2,Fall
Space Jam (1996),2650,PG,NA,184314312.5,Fall
Ransom (1996),2768,R,NA,278235080.5,Fall
Romeo + Juliet (1996),1963,PG-13,NA,94485434.04,Fall
Sleepers (1996),2080,R,NA,108681157.9,Fall
The Ghost and the Darkness (1996),2202,R,NA,78724171.73,Fall
The First Wives Club (1996),2406,PG,NA,215035683,Fall
Maximum Risk (1996),2358,R,NA,29562753.81,Fall
Bulletproof (1996),2242,R,NA,43983790.85,Fall
The Crow: City of Angels (1996),2423,R,NA,36523700.42,Summer
Tin Cup (1996),2102,R,NA,109780506.3,Summer
Jack (1996),2232,PG-13,4.50E+07,119496598.8,Summer
A Time to Kill (1996),2313,R,NA,221715322,Summer
Independence Day (1996),2977,PG-13,7.50E+07,624114277.1,Summer
Eraser (1996),2556,R,1.00E+08,206487107.2,Summer
The Cable Guy (1996),2657,PG-13,4.70E+07,122797524.4,Summer
The Rock (1996),2426,R,7.50E+07,273295541.7,Summer
Mission: Impossible (1996),3012,PG-13,8.00E+07,368924552.6,Spring
Twister (1996),2808,PG-13,9.20E+07,492740029.7,Spring
The Craft (1996),NA,R,NA,NA,Spring
The Quest (1996),2098,R,NA,44207191.96,Spring
Primal Fear (1996),1983,R,NA,114390680.7,Spring
The Birdcage (1996),2285,R,NA,252892665.7,Spring
Up Close and Personal (1996),1639,PG-13,NA,104142360.2,Spring
Rumble in the Bronx (1996),NA,R,7500000,NA,Winter
Broken Arrow (1996) (1996),2392,R,NA,144262222.7,Winter
Black Sheep (1996),2092,PG-13,NA,66082835.96,Winter
Mr. Holland's Opus (1995),NA,PG,NA,171024238.8,Winter
From Dusk Till Dawn (1996),2007,R,1.90E+07,52666948,Winter
12 Monkeys (1995),NA,R,NA,NA,Winter
Titanic (1997),NA,PG-13,2.00E+08,NA,Winter
Scream 2 (1997),2688,R,2.40E+07,198972405.7,Winter
Flubber (1997),2679,PG,NA,182510851,Fall
Mortal Kombat: Annihilation (1997),2140,PG-13,NA,70524167.33,Fall
The Jackal (1997),2309,R,6.00E+07,107826105.2,Fall
Starship Troopers (1997),NA,R,1.05E+08,NA,Fall
I Know What You Did Last Summer (1997),2524,R,NA,142483892.7,Fall
Kiss the Girls (1997),2406,R,2.70E+07,118813972.9,Fall
The Peacemaker (1997),2420,R,5.00E+07,80998015.56,Fall
In & Out (1997),2452,PG-13,3.50E+07,125348786.6,Fall
The Game (1997),2521,R,NA,94857531.26,Fall
Fire Down Below (1997),2350,R,NA,31855842.37,Fall
G.I. Jane (1997),2043,R,NA,94554269.19,Summer
Cop Land (1997),2233,R,1.50E+07,88062811.52,Summer
Conspiracy Theory (1997),2806,R,NA,149151489,Summer
Air Force One (1997),2981,R,8.50E+07,339507025.1,Summer
Men in Black (1997),3180,PG-13,9.00E+07,492096243.2,Summer
Hercules (1997),NA,G,8.50E+07,194553383.4,Summer
Batman and Robin (1997),2942,PG-13,1.25E+08,210675382.8,Summer
Speed 2: Cruise Control (1997),2625,PG-13,1.60E+08,95415833.26,Summer
Con Air (1997),2941,R,7.50E+07,198490050.7,Summer
The Lost World: Jurassic Park (1997),3565,PG-13,7.30E+07,449688666.2,Spring
The Fifth Element (1997),2500,PG-13,NA,125276649.6,Spring
Breakdown (1997),2348,R,3.60E+07,98460541.93,Spring
Volcano (1997),2777,PG-13,9.00E+07,96820140.89,Spring
Anaconda (1997),2456,PG-13,NA,129331320.4,Spring
Liar Liar (1997),2909,PG-13,NA,356102318.3,Spring
Return of the Jedi (Special Edition) (1997),2111,PG,NA,607156569.7,Spring
Private Parts (1997),2217,R,2.80E+07,80934531.37,Spring
